
mistake,fix,mistake freq,fix freq,type,Efreq
excerpt,excerpts,5.0,10.0,Deletion,0
if,it,180610.0,963712.0,Substitution,0
whether,the,3424.0,1501908.0,Compound,0
be,the,293085.0,1501908.0,Standard,0
primer,prime,30.0,933.0,Insertion,0
before,and,40501.0,682780.0,Standard,0
is,if,459663.0,180610.0,Substitution,0
is,if,459663.0,180610.0,Substitution,0
highest,lowest,646.0,225.0,Standard,0
opens,open,848.0,16341.0,Insertion,0
lists,list,198.0,4110.0,Insertion,0
updates,update,59.0,252.0,Insertion,0
Russel,Russell,33.0,926.0,Deletion,0
an,and,95071.0,682780.0,Deletion,0
ID,object,169.0,1314.0,Standard,0
Collection,String,926.0,646.0,Standard,0
THe,The,1501908.0,1501908.0,Caps Error,0
and,the,682780.0,1501908.0,Standard,0
be,able,293085.0,8155.0,Standard,0
ID,identifier,169.0,6.0,Standard,0
lower,lowercase,1417.0,2.0,Compound,0
also,Also,10528.0,10528.0,Caps Error,0
to,of,1156570.0,590439.0,Standard,0
boolean,function,4.0,565.0,Standard,0
push,pop,3598.0,3441.0,Standard,0
video,videos,2105.0,220.0,Deletion,0
text,test,267.0,4288.0,Substitution,0
guards,protecting,1237.0,817.0,Standard,0
is,present,459663.0,4562.0,Standard,0
Simple,Simply,4555.0,2362.0,Substitution,0
willing,willingness,2512.0,68.0,Compound,0
a,your,1041179.0,328715.0,Standard,0
an,English,95071.0,3777.0,Standard,0
produces,produced,134.0,268.0,Substitution,0
I,It,2038529.0,963712.0,Deletion,0
can,will,267620.0,108306.0,Standard,0
Cats,Fetch,1006.0,559.0,Standard,0
minimum,maximum,415.0,396.0,Standard,0
minimum,maximum,415.0,396.0,Standard,0
explain,explained,5670.0,598.0,Compound,0
Espace,Escape,7.0,2258.0,Exchange,0
save,saved,8278.0,3558.0,Deletion,0
gets,posts,11364.0,141.0,Standard,0
collectors,collector,75.0,220.0,Insertion,0
test,sandbox,4288.0,54.0,Standard,0
to,two,1156570.0,54384.0,Deletion,0
so,but,216452.0,225291.0,Standard,0
is,it,459663.0,963712.0,Substitution,0
share,shared,3545.0,534.0,Deletion,0
we,first,459607.0,42869.0,Standard,0
f,if,2579.0,180610.0,Deletion,0
A,An,1041179.0,95071.0,Deletion,0
able,available,8155.0,1323.0,Compound,0
in,center,498444.0,2335.0,Standard,0
of,if,590439.0,180610.0,Substitution,0
of,if,590439.0,180610.0,Substitution,0
sur,sure,30.0,56091.0,Deletion,0
sur,sure,30.0,56091.0,Deletion,0
not,now,276673.0,163333.0,Substitution,0
Research,Investigate,1688.0,483.0,Standard,0
adapter,Adapter,11.0,11.0,Caps Error,0
from,form,103992.0,2180.0,Exchange,0
spittle,sprite,12.0,33.0,Standard,0
field,class,3580.0,5985.0,Standard,0
a,an,1041179.0,95071.0,Deletion,0
models,model,451.0,1635.0,Insertion,0
built,build,2099.0,2452.0,Substitution,0
it,its,963712.0,8757.0,Deletion,0
then,when,75966.0,103739.0,Substitution,0
fo,for,95.0,351650.0,Deletion,0
meant,means,5316.0,11136.0,Substitution,0
ands,and,21.0,682780.0,Insertion,0
are,considered,265672.0,1182.0,Standard,0
given,listening,4851.0,3205.0,Standard,0
build,push,2452.0,3598.0,Standard,0
MInute,Minute,19252.0,19252.0,Caps Error,0
using,technique,3520.0,456.0,Standard,0
is,it,459663.0,963712.0,Substitution,0
To,We,1156570.0,459607.0,Standard,0
set,sets,11805.0,761.0,Deletion,0
build,test,2452.0,4288.0,Standard,0
you,your,2134713.0,328715.0,Deletion,0
name,next,32735.0,23090.0,Standard,0
Repository,This,13.0,406915.0,Standard,0
An,Object,95071.0,1314.0,Standard,0
your,you,328715.0,2134713.0,Insertion,0
Home,About,39491.0,185206.0,Standard,0
Twitter,Bootstrap,8.0,3.0,Standard,0
images,Images,401.0,401.0,Caps Error,0
Strep,Streep,35.0,45.0,Deletion,0
easy,simple,13551.0,4555.0,Standard,0
point,place,12063.0,30736.0,Standard,0
in,are,498444.0,265672.0,Standard,0
th,the,4989.0,1501908.0,Deletion,0
not,now,276673.0,163333.0,Substitution,0
it,is,963712.0,459663.0,Substitution,0
end,and,13559.0,682780.0,Substitution,0
ident,indent,15.0,6.0,Deletion,0
ident,indent,15.0,6.0,Deletion,0
provide,provides,888.0,137.0,Deletion,0
you,to,2134713.0,1156570.0,Standard,0
it,its,963712.0,8757.0,Deletion,0
what,As,501965.0,113068.0,Standard,0
An,A,95071.0,1041179.0,Insertion,0
must,one,35661.0,156684.0,Standard,0
must,one,35661.0,156684.0,Standard,0
logging,named,46.0,3564.0,Standard,0
with,methods,257465.0,330.0,Standard,0
flood,flooding,291.0,86.0,Compound,0
logger,Default,6.0,51.0,Standard,0
whether,weather,3424.0,1746.0,Standard,0
exist,existing,1477.0,98.0,Compound,0
a,debug,1041179.0,10.0,Standard,0
content,context,389.0,163.0,Substitution,0
