
mistake,fix,mistake freq,fix freq,type,Efreq
=res.emailAddress,res.emailAddress,0,0,Insertion,0
res.lastName,res.firstName,0,0,Standard,0
Deutsche,Deutsch,8.0,0,Insertion,0
nocoments,nocomments,0,0,Deletion,0
nocomment,nocomments,0,0,Deletion,0
build_support,builder_support,0,0,Standard,0
build_support,builder_support,0,0,Standard,0
excerpt,excerpts,5.0,10.0,Deletion,0
exceprts,excerpts,0,10.0,Exchange,0
exceprts,excerpts,0,10.0,Exchange,0
.,Example,0,1527.0,Standard,0
blog_language,blog_languages,0,0,Deletion,0
_compile_catlog,_compile_catalog,0,0,Deletion,0
if,it,180610.0,963712.0,Substitution,0
..,.,0,0,Insertion,0
u,u\n,2506.0,0,MORPH,0
u,u\n,2506.0,0,MORPH,0
[omission],-,0,0,Omission,0
DataHub,Hub,0,156.0,MORPH,0
disablle,disable,0,79.0,Insertion,0
-igfxfcmsfbs,igfxfcmsfbs=,0,0,Standard,0
DPDCD,DPCD,0,0,Insertion,0
[omission],{,0,0,0,0,Omission,0
whether,the,3424.0,1501908.0,Compound,0
isValidJSON,sortedIndex,0,0,Standard,0
.scripts/module.js,./scripts/module.js,0,0,Deletion,0
'./lib/TSOC.js,'./module/TSOC.js,0,0,Standard,0
be,the,293085.0,1501908.0,Standard,0
hecadecimal,hexadecimal,0,0,Substitution,0
veriadic,variadic,0,0,Substitution,0
Javascript,JavaScript,0,0,Caps Error,0
``,.,0,0,Standard,0
[omission],a,0,1041179.0,Omission,0
primer,prime,30.0,933.0,Insertion,0
[omission],the,0,1501908.0,Omission,0
<,'li,0,0,Standard,0
before,and,40501.0,682780.0,Standard,0
usefull,useful,0,669.0,Insertion,0
[omission],is,0,459663.0,Omission,0
is,if,459663.0,180610.0,Substitution,0
[omission],sis,0,400.0,Omission,0
is,if,459663.0,180610.0,Substitution,0
highest,lowest,646.0,225.0,Standard,0
txes,txs,0,0,Insertion,0
opens,open,848.0,16341.0,Insertion,0
lists,list,198.0,4110.0,Insertion,0
updates,update,59.0,252.0,Insertion,0
Russel,Russell,33.0,926.0,Deletion,0
lighningd,lightningd,0,0,Deletion,0
ifidn,ifnidn,0,0,Deletion,0
VideoTemproalLayers,VideoTemporalLayers,0,0,Exchange,0
*,user,0,79.0,Standard,0
[omission],!,0,0,Omission,0
vpp.run,trans.run,0,0,Standard,0
intersted,interested,0,4374.0,Deletion,0
practictitioners,practitioners,0,12.0,Standard,0
's,CPU,0,36.0,Standard,0
's,CPU,0,36.0,Standard,0
Cifar,Cifar\,0,0,Deletion,0
GoogleNet,GoogleNet\,0,0,Deletion,0
Kingts,Knights,0,384.0,Standard,0
Finnally,Finally,0,5989.0,Insertion,0
an,and,95071.0,682780.0,Deletion,0
Stagging,Staging,0,99.0,Insertion,0
givem,given,0,4851.0,Substitution,0
givem,given,0,4851.0,Substitution,0
reigons,regions,0,75.0,Exchange,0
Remve,Remove,0,1084.0,Deletion,0
[omission],!,0,0,Omission,0
APi,API,0,0,Caps Error,0
Client.getDMChanne,Client.getDMChannel,0,0,Deletion,0
ID,object,169.0,1314.0,Standard,0
gulid,guild,0,103.0,Exchange,0
gulid,guild,0,103.0,Exchange,0
abalabahaha/eris,eris,0,17.0,MORPH,0
//www.npmjs.com/package/eris,//npmjs.com/package/eris,0,0,Standard,0
User,ExtendedUser,79.0,0,MORPH,0
encoder.stdout,stdout,0,0,MORPH,0
Nnumber,Number,0,12288.0,Insertion,0
Collection,String,926.0,646.0,Standard,0
THe,The,1501908.0,1501908.0,Caps Error,0
and,the,682780.0,1501908.0,Standard,0
be,able,293085.0,8155.0,Standard,0
ID,identifier,169.0,6.0,Standard,0
exclusiveminimum,exclusiveMinimum,0,0,Caps Error,0
[omission],:,0,0,Omission,0
*,:,0,0,Substitution,0
[omission],:,0,0,Omission,0
introspectionUrl,introspection_url,0,0,Standard,0
clientId,client_id,0,0,Standard,0
clientSecret,client_secret,0,0,Standard,0
Relases,Releases,0,89.0,Deletion,0
Nummeric,Numeric,0,0,Insertion,0
Nummeric,Numeric,0,0,Insertion,0
Nummeric,Numeric,0,0,Insertion,0
..,...,0,0,Deletion,0
lower,lowercase,1417.0,2.0,Compound,0
also,Also,10528.0,10528.0,Caps Error,0
occurences,occurrences,0,14.0,Deletion,0
scond,second,0,14513.0,Deletion,0
lower-cased,lowercased,0,0,Insertion,0
Initialized,Initializes,2.0,0,Substitution,0
beggining,beginning,0,3219.0,Standard,0
specificly,specifically,0,524.0,Standard,0
Rrecursively,Recursively,0,0,Insertion,0
shallo,shallow,0,301.0,Deletion,0
experssion,expression,0,651.0,Exchange,0
