,mistake,fix,mistake freq,fix freq,type,1
0,excerpt,excerpts,5.0,10.0,Deletion,1
1,if,it,180610.0,963712.0,Substitution,2
2,whether,the,3424.0,1501908.0,Compound,1
3,be,the,293085.0,1501908.0,Standard,1
4,primer,prime,30.0,933.0,Insertion,1
5,before,and,40501.0,682780.0,Standard,1
6,is,if,459663.0,180610.0,Substitution,4
8,highest,lowest,646.0,225.0,Standard,1
9,opens,open,848.0,16341.0,Insertion,1
10,lists,list,198.0,4110.0,Insertion,1
11,updates,update,59.0,252.0,Insertion,1
12,Russel,Russell,33.0,926.0,Deletion,2
13,an,and,95071.0,682780.0,Deletion,6
14,ID,object,169.0,1314.0,Standard,1
15,Collection,String,926.0,646.0,Standard,1
16,THe,The,1501908.0,1501908.0,Caps Error,1
17,and,the,682780.0,1501908.0,Standard,2
18,be,able,293085.0,8155.0,Standard,2
19,ID,identifier,169.0,6.0,Standard,2
20,lower,lowercase,1417.0,2.0,Compound,1
21,also,Also,10528.0,10528.0,Caps Error,1
22,to,of,1156570.0,590439.0,Standard,4
23,boolean,function,4.0,565.0,Standard,1
24,push,pop,3598.0,3441.0,Standard,1
25,video,videos,2105.0,220.0,Deletion,1
26,text,test,267.0,4288.0,Substitution,2
27,guards,protecting,1237.0,817.0,Standard,1
28,is,present,459663.0,4562.0,Standard,1
29,Simple,Simply,4555.0,2362.0,Substitution,1
30,willing,willingness,2512.0,68.0,Compound,1
31,a,your,1041179.0,328715.0,Standard,1
32,an,English,95071.0,3777.0,Standard,1
33,produces,produced,134.0,268.0,Substitution,1
34,I,It,2038529.0,963712.0,Deletion,1
35,can,will,267620.0,108306.0,Standard,1
36,Cats,Fetch,1006.0,559.0,Standard,1
37,minimum,maximum,415.0,396.0,Standard,2
39,explain,explained,5670.0,598.0,Compound,1
40,Espace,Escape,7.0,2258.0,Exchange,1
41,save,saved,8278.0,3558.0,Deletion,1
42,gets,posts,11364.0,141.0,Standard,1
43,collectors,collector,75.0,220.0,Insertion,1
44,test,sandbox,4288.0,54.0,Standard,1
45,to,two,1156570.0,54384.0,Deletion,1
46,so,but,216452.0,225291.0,Standard,1
47,is,it,459663.0,963712.0,Substitution,2
48,share,shared,3545.0,534.0,Deletion,1
49,we,first,459607.0,42869.0,Standard,1
50,f,if,2579.0,180610.0,Deletion,1
51,A,An,1041179.0,95071.0,Deletion,1
52,able,available,8155.0,1323.0,Compound,1
53,in,center,498444.0,2335.0,Standard,1
54,of,if,590439.0,180610.0,Substitution,2
56,sur,sure,30.0,56091.0,Deletion,2
58,not,now,276673.0,163333.0,Substitution,4
59,Research,Investigate,1688.0,483.0,Standard,1
60,adapter,Adapter,11.0,11.0,Caps Error,1
61,from,form,103992.0,2180.0,Exchange,1
62,spittle,sprite,12.0,33.0,Standard,1
63,field,class,3580.0,5985.0,Standard,1
64,a,an,1041179.0,95071.0,Deletion,12
65,models,model,451.0,1635.0,Insertion,1
66,built,build,2099.0,2452.0,Substitution,1
67,it,its,963712.0,8757.0,Deletion,23
68,then,when,75966.0,103739.0,Substitution,2
69,fo,for,95.0,351650.0,Deletion,1
70,meant,means,5316.0,11136.0,Substitution,1
71,ands,and,21.0,682780.0,Insertion,1
72,are,considered,265672.0,1182.0,Standard,1
73,given,listening,4851.0,3205.0,Standard,1
74,build,push,2452.0,3598.0,Standard,1
75,MInute,Minute,19252.0,19252.0,Caps Error,1
76,using,technique,3520.0,456.0,Standard,1
78,To,We,1156570.0,459607.0,Standard,1
79,set,sets,11805.0,761.0,Deletion,1
80,build,test,2452.0,4288.0,Standard,1
81,you,your,2134713.0,328715.0,Deletion,11
82,name,next,32735.0,23090.0,Standard,1
83,Repository,This,13.0,406915.0,Standard,1
84,An,Object,95071.0,1314.0,Standard,1
85,your,you,328715.0,2134713.0,Insertion,5
86,Home,About,39491.0,185206.0,Standard,1
87,Twitter,Bootstrap,8.0,3.0,Standard,1
88,images,Images,401.0,401.0,Caps Error,1
89,Strep,Streep,35.0,45.0,Deletion,1
90,easy,simple,13551.0,4555.0,Standard,1
91,point,place,12063.0,30736.0,Standard,1
92,in,are,498444.0,265672.0,Standard,1
93,th,the,4989.0,1501908.0,Deletion,1
95,it,is,963712.0,459663.0,Substitution,4
96,end,and,13559.0,682780.0,Substitution,1
97,ident,indent,15.0,6.0,Deletion,3
99,provide,provides,888.0,137.0,Deletion,2
100,you,to,2134713.0,1156570.0,Standard,1
102,what,As,501965.0,113068.0,Standard,1
103,An,A,95071.0,1041179.0,Insertion,1
104,must,one,35661.0,156684.0,Standard,2
106,logging,named,46.0,3564.0,Standard,1
107,with,methods,257465.0,330.0,Standard,1
108,flood,flooding,291.0,86.0,Compound,1
109,logger,Default,6.0,51.0,Standard,1
110,whether,weather,3424.0,1746.0,Standard,1
111,exist,existing,1477.0,98.0,Compound,1
112,a,debug,1041179.0,10.0,Standard,1
113,content,context,389.0,163.0,Substitution,1
114,an,a,95071.0,1041179.0,Insertion,14
115,to,use,1156570.0,17536.0,Standard,2
116,your,multiple,328715.0,540.0,Standard,2
118,up,down,187170.0,76004.0,Standard,1
119,cb,callback,27.0,44.0,Standard,2
120,use,used,17536.0,17551.0,Deletion,1
121,wether,whether,7.0,3424.0,Deletion,2
122,kind,kinds,30125.0,1121.0,Deletion,1
123,work,worked,40699.0,5877.0,Compound,1
124,deal,dealing,13330.0,1440.0,Compound,1
125,points,point,1642.0,12063.0,Insertion,1
126,to,we,1156570.0,459607.0,Standard,1
127,to,if,1156570.0,180610.0,Standard,1
128,getting,slowing,24719.0,156.0,Standard,1
129,sound,sounds,7313.0,7970.0,Deletion,1
130,normal,standard,3589.0,940.0,Standard,1
131,Example,Examples,1527.0,97.0,Deletion,1
132,default,compiler,51.0,7.0,Standard,1
133,past,path,6312.0,1252.0,Standard,1
134,implement,implements,63.0,15.0,Deletion,1
135,a,any,1041179.0,56068.0,Standard,1
136,programme,programmer,235.0,56.0,Deletion,1
137,pulls,also,404.0,10528.0,Standard,1
139,removed,remove,737.0,1084.0,Insertion,1
140,bu,but,82.0,225291.0,Deletion,2
143,Bucket,bucket,511.0,511.0,Caps Error,1
144,RESTFul,RESTful,38.0,38.0,Caps Error,1
145,rotate,reverse,98.0,560.0,Standard,2
146,fist,first,375.0,42869.0,Deletion,6
149,Resource,REsource,83.0,83.0,Caps Error,1
150,database,driver,290.0,2416.0,Standard,1
151,setup,up,440.0,187170.0,Compound,1
152,for,a,351650.0,1041179.0,Standard,1
153,Programing,Programming,2.0,160.0,Deletion,1
154,I,we,2038529.0,459607.0,Standard,2
157,Since,parameter,16064.0,13.0,Standard,1
158,containers,contains,77.0,260.0,Standard,1
159,I,A,2038529.0,1041179.0,Substitution,1
160,one,vectors,156684.0,34.0,Standard,1
163,a,are,1041179.0,265672.0,Standard,1
164,knowing,known,2307.0,6300.0,Standard,1
165,Mix,Min,834.0,219.0,Substitution,1
166,user,input,79.0,152.0,Standard,1
167,use,usage,17536.0,26.0,Standard,1
169,Resource,Resources,83.0,470.0,Deletion,1
170,be,decorated,293085.0,144.0,Standard,1
171,in,below,498444.0,1430.0,Standard,1
172,column,chart,559.0,483.0,Standard,1
173,chart,shape,483.0,1542.0,Standard,1
174,filed,field,449.0,3580.0,Exchange,1
175,Suggestion,Event,622.0,1345.0,Standard,1
176,big,bug,34824.0,1068.0,Substitution,2
178,feature,features,298.0,244.0,Deletion,1
179,equal,an,682.0,95071.0,Standard,1
180,used,a,17551.0,1041179.0,Standard,1
181,I,you,2038529.0,2134713.0,Standard,1
182,variable,variables,39.0,52.0,Deletion,1
183,link,lint,609.0,68.0,Substitution,2
185,r,rows,3579.0,92.0,Compound,3
187,c,var,4675.0,7.0,Standard,1
188,r,row,3579.0,1343.0,Compound,1
190,int,value,2.0,1097.0,Standard,1
191,to,too,1156570.0,69950.0,Deletion,6
192,hav,have,7.0,314232.0,Deletion,2
193,o,of,9598.0,590439.0,Deletion,1
194,we,We,459607.0,459607.0,Caps Error,1
195,currently,Currently,351.0,351.0,Caps Error,1
200,counter,count,709.0,4588.0,Compound,1
201,you,based,2134713.0,1357.0,Standard,1
204,on,one,354742.0,156684.0,Deletion,1
206,names,name,2746.0,32735.0,Insertion,4
211,use,personally,17536.0,1870.0,Standard,1
212,and,or,682780.0,86970.0,Standard,1
213,yo,you,4177.0,2134713.0,Deletion,1
214,interval,length,45.0,358.0,Standard,2
216,to,make,1156570.0,70775.0,Standard,1
217,of,to,590439.0,1156570.0,Standard,1
218,a,strictly,1041179.0,548.0,Standard,1
219,internet,Internet,334.0,334.0,Caps Error,1
220,sounds,seem,7970.0,7131.0,Standard,1
221,resources,resource,470.0,83.0,Insertion,1
222,has,have,57830.0,314232.0,Standard,2
223,ObjecT,Object,1314.0,1314.0,Caps Error,1
224,of,the,590439.0,1501908.0,Standard,2
225,test,Test,4288.0,4288.0,Caps Error,1
226,stop,Stop,36071.0,36071.0,Caps Error,1
227,the,do,1501908.0,312915.0,Standard,1
228,used,use,17551.0,17536.0,Insertion,1
229,difference,different,4066.0,10686.0,Standard,2
230,projects,project,285.0,1907.0,Insertion,1
231,he,the,389497.0,1501908.0,Deletion,4
232,these,this,46104.0,406915.0,Standard,2
234,LL,ALL,224097.0,263255.0,Deletion,2
236,your,the,328715.0,1501908.0,Standard,1
240,and,an,682780.0,95071.0,Insertion,4
241,fot,for,6.0,351650.0,Substitution,1
242,ss,hs,124.0,3.0,Substitution,1
243,optical,Optical,56.0,56.0,Caps Error,1
245,Require,Required,542.0,547.0,Deletion,1
247,slice,remove,435.0,1084.0,Standard,2
249,flow,flows,701.0,142.0,Deletion,1
250,throw,thrown,6570.0,1047.0,Deletion,2
252,easy,easily,13551.0,1151.0,Standard,1
253,process,processes,1427.0,55.0,Compound,1
254,loose,lose,2131.0,8382.0,Insertion,2
256,am,an,56438.0,95071.0,Substitution,1
257,receive,receives,992.0,79.0,Deletion,1
258,send,sent,9169.0,7038.0,Substitution,2
259,part,of,13337.0,590439.0,Standard,1
261,return,returns,4676.0,447.0,Deletion,3
262,ot,to,126.0,1156570.0,Exchange,2
263,other,order,37505.0,7985.0,Standard,1
264,my,may,344899.0,26080.0,Deletion,2
266,the,a,1501908.0,1041179.0,Standard,2
267,ist,is,38.0,459663.0,Insertion,1
268,set,get,11805.0,233772.0,Substitution,1
269,don,do,321085.0,312915.0,Insertion,1
273,potentially,speeds,171.0,75.0,Standard,1
274,dos,do,85.0,312915.0,Insertion,1
275,departement,department,2.0,3256.0,Insertion,1
276,g,of,2169.0,590439.0,Standard,1
277,by,be,68364.0,293085.0,Substitution,3
278,or,of,86970.0,590439.0,Substitution,1
279,is,to,459663.0,1156570.0,Standard,1
280,was,ways,288391.0,2633.0,Deletion,1
283,for,business,351650.0,16371.0,Standard,1
284,found,fond,20196.0,629.0,Insertion,1
285,in,concepts,498444.0,73.0,Standard,1
286,to,later,1156570.0,14889.0,Standard,1
287,brackets,Brackets,11.0,11.0,Caps Error,1
289,HAsh,Hash,180.0,180.0,Caps Error,1
290,only,minimally,55269.0,3.0,Standard,1
291,miss,misses,23850.0,373.0,Compound,1
292,to,true,1156570.0,12921.0,Standard,1
293,optional,Spark,58.0,320.0,Standard,1
294,save,safe,8278.0,7303.0,Substitution,1
295,create,created,1289.0,1195.0,Deletion,2
296,can,get,267620.0,233772.0,Standard,1
297,this,address,406915.0,2666.0,Standard,1
298,communication,communications,528.0,398.0,Deletion,1
299,licence,license,251.0,1635.0,Substitution,1
300,hot,all,9682.0,263255.0,Standard,1
301,user,users,79.0,63.0,Deletion,1
302,use,uses,17536.0,778.0,Deletion,1
303,user,uses,79.0,778.0,Substitution,1
304,fo,of,95.0,590439.0,Exchange,2
